price,location,size,Price_per_m2,bedroom,toi_list,mat_tien,floor,duong_vao,phap_ly,noi_that
7.3,5,60.0,121.67,3.0,4.0,5.0,5.0,4.9,0,0
4.5,5,35.0,128.57,3.0,4.0,4.0,5.0,4.9,0,0
8.65,19,46.0,188.04,4.0,4.0,4.636274509803922,4.0,4.9,0,0
4.85,16,46.0,105.44,4.0,3.0,4.7,5.0,4.9,0,0
4.5,16,36.0,125.0,4.0,4.0,4.636274509803922,5.0,10.0,0,0
7.0,5,35.0,200.0,3.0,4.0,4.636274509803922,6.0,4.9,0,0
3.0,10,32.0,93.75,3.0,5.0,4.0,5.0,5.0,0,0
3.05,16,25.0,122.0,4.0,2.0,3.0,4.0,3.0,0,0
5.5,5,40.0,137.5,3.0,4.0,4.636274509803922,5.0,4.9,0,0
9.88,5,43.0,150.0,3.411202778983934,3.616707616707617,4.636274509803922,4.0,4.9,0,0
4.5,5,30.0,110.0,3.0,3.0,4.636274509803922,5.0,4.9,0,0
3.3,16,30.0,144.44,3.0,3.0,3.9,4.0,2.2,0,0
5.2,16,36.0,133.33,4.0,3.0,4.636274509803922,6.0,4.9,0,0
4.0,5,30.0,104.05,4.0,3.0,4.636274509803922,4.448275862068965,4.9,0,0
3.85,5,37.0,128.75,2.0,3.0,4.636274509803922,4.448275862068965,4.9,0,0
5.15,19,40.0,155.71,4.0,3.616707616707617,4.636274509803922,5.0,4.9,0,0
5.45,19,35.0,133.78,4.0,3.616707616707617,7.0,4.0,4.0,0,0
4.95,19,37.0,121.43,3.0,3.616707616707617,4.636274509803922,5.0,4.9,0,0
4.8,10,38.0,126.32,4.0,5.0,4.5,6.0,2.0,0,0
2.1,9,20.0,105.0,2.0,2.0,5.2,2.0,3.5,0,0
3.15,16,30.0,105.0,3.0,4.0,4.0,5.0,8.0,0,0
14.5,17,70.0,207.14,4.0,4.0,4.5,4.0,2.5,0,0
6.1,17,56.0,108.93,4.0,4.0,5.0,5.0,2.8,0,0
11.5,17,70.0,164.29,4.0,4.0,5.0,5.0,6.0,0,0
4.55,19,37.0,122.97,3.0,4.0,3.7,5.0,3.0,0,0
1.78,6,42.0,42.38,3.0,3.0,4.636274509803922,3.0,4.9,0,0
6.0,17,43.0,139.54,4.0,3.0,4.636274509803922,4.0,3.0,0,0
3.9,5,33.0,118.18,3.0,4.0,6.0,5.0,3.3,0,0
10.5,12,65.0,161.54,3.411202778983934,3.616707616707617,4.636274509803922,5.0,4.9,0,0
10.2,12,68.0,150.0,4.0,5.0,4.636274509803922,6.0,4.9,0,0
17.8,5,118.0,150.85,4.0,6.0,9.3,4.0,4.9,0,0
3.3,19,40.0,82.48,4.0,5.0,4.636274509803922,4.0,4.9,0,0
3.0,10,32.0,93.75,3.0,3.0,3.6,5.0,4.0,0,0
7.6,17,60.0,126.67,3.0,4.0,6.0,5.0,3.0,0,0
6.2,17,56.0,133.93,4.0,3.616707616707617,5.0,5.0,2.8,0,0
7.5,10,56.0,107.44,4.0,4.0,4.636274509803922,5.0,4.9,0,0
16.3,19,50.0,326.0,3.0,6.0,4.636274509803922,7.0,4.9,0,0
7.3,16,42.0,173.81,3.0,3.0,4.636274509803922,4.0,4.9,0,0
2.65,9,30.0,88.33,3.0,3.616707616707617,6.0,5.0,4.9,0,0
3.7,17,33.0,112.12,3.0,4.0,4.0,5.0,3.0,0,0
14.5,17,50.0,290.0,3.0,4.0,5.75,5.0,7.0,0,0
7.6,19,60.0,126.67,4.0,3.0,4.636274509803922,4.0,2.0,0,0
3.25,10,33.0,98.48,4.0,3.0,3.8,5.0,4.9,0,0
7.6,9,50.0,152.0,4.0,4.0,4.0,4.0,6.0,0,0
20.0,16,120.0,166.67,4.0,2.0,8.0,4.0,8.0,0,0
7.6,12,54.0,126.22,4.0,3.616707616707617,3.9,4.0,4.5,0,0
5.68,9,45.0,92.5,3.0,4.0,4.0,5.0,16.0,0,0
1.48,16,16.0,82.33,4.0,4.0,3.0,3.0,2.0,0,0
1.77,15,21.5,147.37,3.0,2.0,3.2,5.0,4.9,0,0
5.6,19,38.0,100.0,2.0,3.616707616707617,3.0,5.0,4.9,0,0
5.6,10,56.0,141.73,4.0,4.0,4.1,4.0,6.0,0,0
9.0,16,63.5,112.3,4.0,5.0,4.636274509803922,3.0,4.9,0,0
4.95,19,37.0,133.78,4.0,4.0,4.5,5.0,3.0,0,0
5.6,12,51.0,109.8,4.0,3.0,4.636274509803922,4.0,4.9,0,0
5.1,8,35.0,145.71,4.0,4.0,3.8,5.0,4.9,0,0
5.9,0,35.0,168.57,3.0,3.0,4.0,6.0,7.5,0,0
12.3,0,45.0,273.33,3.0,5.0,4.5,5.0,8.0,0,0
15.8,19,54.0,292.59,4.0,4.0,4.0,5.0,6.0,0,0
5.2,0,35.0,148.57,3.0,5.0,4.0,5.0,3.0,0,0
6.6,0,50.0,205.0,4.0,5.0,3.63,4.0,2.5,0,0
8.2,9,40.0,86.25,4.0,5.0,4.5,6.0,7.0,0,0
1.38,16,16.0,67.14,3.411202778983934,3.616707616707617,3.0,3.0,3.0,0,0
2.35,9,35.0,58.57,3.0,2.0,4.636274509803922,5.0,4.9,0,0
